id,fname,lname,hand,dob,country,height
244632,Mrs,Manus,,,,
244633,,Dodworth,,,GBR,
244634,Heaton,Leete,,,GBR,
244635,,Esteoule,,,FRA,
244636,,Sella,,,FRA,
244637,Mrs G,Wright,,,GBR,
244638,Mrs,Drew,,,SGP,
244639,M,Tierney,,,AUS,
244640,,Van Arfen,,,FRA,
244641,Pamela,Fitzgerald,,,GBR,
244642,,Vollweider,,,FRA,
244643,,Dolly,,,GBR,
244644,Patricia,Fitzgerald,,,GBR,
244645,,Holter,,,AUT,
244646,,Huber,,,AUT,
244647,,Huebsch,,,AUT,
244648,,Durst,,,AUT,
244649,,Maser,,,AUT,
244650,,Laveran,,,AUT,
244651,,Munigue,,,AUT,
244652,A M,Dashwood,,,,
244653,,Keller,,,AUT,
244654,,Dumreicher,,,AUT,
244655,,Sturm,,,AUT,
244656,,Bernecker,,,AUT,
244657,M,Szapary,,,AUT,
244658,,Kagerer,,,AUT,
244659,,Lodron,,,AUT,
244660,,Nuegebauer,,,AUT,
244661,,Natter,,,AUT,
244662,,Schaesberg,,,AUT,
244663,,Weil,,,AUT,
244664,,Friedrich,,,AUT,
244665,J,Simon,,,SUI,
244666,,Schaeffer,,,GER,
244667,,Munsinger,,,GER,
244668,Helen,Tuohy,,,USA,
244669,Marion,Tuohy,,,USA,
244670,Dorothy,Spalding,,,USA,
244671,E,Horner,,,GBR,
244672,M G,Figgis,,,GBR,
244673,P,Wilson,,,GBR,
244674,N,Carroll,,,GBR,
244675,A,Rock,,,GBR,
244676,B J,Carter,,,GBR,
244677,S,Havasy,,,GBR,
244678,J C,Blake,,,GBR,
244679,J,Fraser,,,GBR,
244680,B,Leigh Thomas,,,GBR,
244681,D,Hardy,,,GBR,
244682,M A,Wright,,,GBR,
244683,K T,Smith,,,GBR,
244684,Erika,Meyer,,,GER,
244685,,Clemenger,,,AUS,
244686,,Moeslein,,,SUI,
244687,Maddelena,Sertorio,,,ITA,
244688,,Sydler,,,SUI,
244689,,Fabre Luce,,,FRA,
244690,,Hellstern,,,FRA,
244691,Alice,Ward,,,NZL,
244692,,Brulliard,,,FRA,
244693,,Vallier,,,FRA,
244694,Nadine,Lanquest,,,FRA,
244695,Mrs,Gregg,,,GBR,
244696,Mrs,Sturman,,,GBR,
244697,Mrs,Simpson,,,GBR,
244698,Luella,Conlin,,,USA,
244699,Esther,Dunn,,,USA,
244700,Frances,Howard,,,USA,
244701,Mrs,Franzen,,,AUS,
244702,Mrs,Glenman,,,AUS,
244703,Katherine,Coleman,,,AUS,
244704,Lenke,Ziszovits,,,ROU,
244705,Comtesse,Finkenstein,,,SUI,
244706,,Markees,,,SUI,
244707,,Nicolier,,,SUI,
244708,Marzia,De Fabricotti,,,ITA,
244709,R,Warden,,,FRA,
244710,,Rodzianko,,,FRA,
244711,,Tomasi,,,ITA,
244712,,Brock,,,FRA,
244713,,Ferriot,,,FRA,
244714,K,Luppis,,,ITA,
244715,A,Rammazotti,,,ITA,
244716,A,Scola,,,ITA,
244717,,Gabrowitz,,,ITA,
244718,J,Pini,,,ITA,
244719,,Herzum,,,ITA,
244720,Elveta,Marcellus,,,USA,
244721,H,Maxwell,,,USA,
244722,Bertha,Sadler,,,USA,
244723,Florence,Holcombe,,,USA,
244724,M,Womble,,,USA,
244725,Agnes,Stewart,,,USA,
244726,DUPE C J,Richards,,,USA,
244727,Laura,Demery,,,USA,
244728,Mrs V,Lockett,,,USA,
244729,Agolda,Harrell,,,USA,
244730,M,Woodfaulk,,,USA,
244731,Mrs C H,Jones,,,USA,
244732,Mrs O V,Walker,,,USA,
244733,Alberta,Blackwell,,,USA,
244734,Viola,Dolphie,,,USA,
244735,Frances,Talbot,,,USA,
244736,Muriel,Mccrory,,,USA,
244737,Ruth,Thompson,,,USA,
244738,Mrs M R,Mccauley,,,USA,
244739,I M,Boothroyd,,,GBR,
244740,A,Lockley,,,GBR,
244741,Alice,Woodroffe,,,GBR,
244742,J,Liddell,,,GBR,
244743,A M,Gush,,,GBR,
244744,L,Charbord,,,GBR,
244745,Mrs W P,Cook,,,GBR,
244746,Mrs M,Lawrence,,,GBR,
244747,K A,Potter,,,GBR,
244748,S,Fostley,,,GBR,
244749,V M,Gifford,,,GBR,
244750,Mrs,Shipley,,,GBR,
244751,Mrs G,Wrighton,,,GBR,
244752,Mrs J C,Stephens,,,GBR,
244753,Mrs K T,Reynolds,,,GBR,
244754,E M,Whitaker,,,GBR,
244755,,Anderson,,,GBR,
244756,,Paddison,,,GBR,
244757,Sarah,Bond,,,USA,
244758,R,Waldo,,,GBR,
244759,M,Pittard,,,GBR,
244760,E,Comber,,,GBR,
244761,S,Barwell,,,GBR,
244762,N E F,Rone,,,GBR,
244763,R,Olive,,,GBR,
244764,A S,Elvins,,,GBR,
244765,P,Byrde,,,GBR,
244766,,Graham Simpson,,,GBR,
244767,E L,Gordon,,,GBR,
244768,E G,Hill,,,GBR,
244769,M,Batters,,,GBR,
244770,J,Wardle Smith,,,GBR,
244771,Gwen,Varley,,1896-11-08,AUS,
244772,M,Munsie,,,AUS,
244773,B,Ross Gore,,,AUS,
244774,,Maksimovic,,,YUG,
244775,,Blis,,,YUG,
244776,,Weis,,,FRA,
244777,,Plant,,,FRA,
244778,,Voegelin,,,SUI,
244779,Maja,Samengo,,,ITA,
244780,Maria,Maggi,,,ITA,
244781,,Orazi,,,ITA,
244782,,Gillette,,,FRA,
244783,Baronne,Fries,,,FRA,
244784,,Prevost,,,FRA,
244785,Mrs,Sinclair Westcott,,,GBR,
244786,,Ritchie,,,GBR,
244787,,Beuddeley,,,FRA,
244788,,Delvaux,,,FRA,
244789,DUPE Judith,Backhouse,,,GBR,
244790,,Dalla Ore,,,ITA,
244791,Mrs M F,Ellis,,,GBR,
244792,E,Miller,,,GBR,
244793,Doris,Holt,,,USA,
244794,Mrs Seymour,Williams,,,USA,
244795,,Samama,,,FRA,
244796,Betty,Faeth,,,USA,
244797,Marion,Blew,,,USA,
244798,Liana,De Vescovi,,,USA,
244799,Estelle,Mutchnick,,,USA,
244800,,Forlanini,,,ITA,
244801,Marcella,Covi,,,ITA,
244802,,Moriondo,,,ITA,
244803,Mrs S P,Baker,,,USA,
244804,Mrs Harry S,Walsh,,,USA,
244805,Mrs Albert,Cloud,,,USA,
244806,Mrs E W,Black,,,USA,
244807,Jessie,Gott,,,USA,
244808,Mrs Stephen,Anderson,,,USA,
244809,Emily,Whitbeck,,,USA,
244810,Mrs Paul,Randall,,,USA,
244811,DUPE Mrs H Stuart,Green,,,USA,
244812,,Ziegler,,,SUI,
244813,,Sladen,,,SUI,
244814,,Turner,,,SUI,
244815,,Nielsen,,,SUI,
244816,,Schoeller,,,SUI,
244817,,Zund,,,SUI,
244818,,Vuichoud,,,SUI,
244819,,Margue,,,SUI,
244820,Elena,Clerici,,,ITA,
244821,,Ronzoni,,,ITA,
244822,,Strazza,,,ITA,
244823,,De Leidi,,,ITA,
244824,,Paturel,,,FRA,
244825,Mrs,Brodie,,,GBR,
244826,Noelle,Godwin,,,AUS,
244827,J,Cassidy,,,AUS,
244828,W,Bishop,,,GBR,
244829,E,Knight Bruce,,,GBR,
244830,S M,Eastley,,,GBR,
244831,D,Adams,,,GBR,
244832,Y,Carr,,,GBR,
244833,B I,Hobbs,,,GBR,
244834,E,Ballard,,,GBR,
244835,W L,Edwards,,,GBR,
244836,M E,Short,,,GBR,
244837,M E,Gibson,,,GBR,
244838,E H,Henry,,,GBR,
244839,Gladys,Thompson Lewis,,,GBR,
244840,Sarah,Mclean,,3/17/1908,USA,
244841,Barbara,Worth,,,USA,
244842,Clare,Stenz,,,USA,
244843,,Mcdowell Smith,,,USA,
244844,Mrs George,Sullivan,,,USA,
244845,Mrs H V,Kaltenborn,,,USA,
244846,Mrs Paul,Mead,,,USA,
244847,Alice,Reubens,,,USA,
244848,Althea,Crow,,,USA,
244849,Elizabeth,Burnett,,,USA,
244850,Arlene,Stenz,,,USA,
244851,Mary,Carruthers,,,USA,
244852,Margaret,Bostwick,,,USA,
244853,Mrs Arthur,Smith,,,USA,
244854,Adair,Childress,,,USA,
244855,Sylvia,Dillon,,,USA,
244856,Caroma,Winn,,,USA,
244857,Jean,Flager,,,USA,
244858,Mary,Bennici,,,USA,
244859,Lillian,Bennici,,,USA,
244860,Mrs Wilmer,May,,,USA,
244861,Margaret,Maccullock,,,USA,
244862,Helen,Godsil,,,USA,
244863,Jessie,Grieve,,1895-04-11,USA,
244864,Mrs L N,Harris,,,USA,
244865,Midge,Butler,,,USA,
244866,Helen,Teaze,,,USA,
244867,Ethel,Brashear,,,USA,
244868,E W,Stevenson,,,GBR,
244869,DUPE A K,Sutcliffe,,,GBR,
244870,Mrs N R,Adams,,,GBR,
244871,A W,Wright,,,GBR,
244872,Mrs A E M,Clark,,,GBR,
244873,M,Mcewen,,,GBR,
244874,M W,Brearley,,,GBR,
244875,Helen,Primrose,,,GBR,
244876,Dorothy,Proctor,,1899-02-10,GBR,
244877,E R,Battersby,,,GBR,
244878,P,Mccann,,,GBR,
244879,B,Kenneth,,,GBR,
244880,Monica,Brand,,,GBR,
244881,Mrs R G,De Quetteville,,,GBR,
244882,D L,Carlow,,,GBR,
244883,D,Lyle,,,GBR,
244884,N L,Moore,,,GBR,
244885,E B,Robertson,,,GBR,
244886,Mrs E,Mason,,,GBR,
244887,,Van Riemsdyk,,,NED,
244888,J,Van Riemsdyk,,,NED,
244889,Mrs,Merritt,,,GBR,
244890,,Louvet,,,FRA,
244891,L,Smedsrud,,,,
244892,,Fothwardy,,,GBR,
244893,,Pritchard,,,GBR,
244894,,Aspergen,,,FRA,
244895,,Bowens Paillet,,,FRA,
244896,Jeanne,Dublanc,,,FRA,
244897,Dorothy,Cole,,,USA,
244898,Mrs A H,Newtown,,,AUS,
244899,Mrs Rowland,Evans,,,USA,
244900,Mrs Louis,Carruthers,,,USA,
244901,Mrs Jacob,Bischoff,,,USA,
244902,Angelica,Plantier,,1885-11-08,POR,
244903,Mrs,Taite,,,POR,
244904,Corella,Morris,,,USA,
244905,Mrs Goodwin,Graham,,,USA,
244906,V,Finlason,,,GBR,
244907,,Rebatel,,,FRA,
244908,,Carter,,,FRA,
244909,,De Brohy,,,FRA,
244910,Mrs J F,Crossley,,,GBR,
244911,E F,Chadwick,,,GBR,
244912,Jesse,Turner,,,USA,
244913,J,Dellepiane,,,ARG,
244914,,Sauer,,,FRA,
244915,,Delaroche,,,FRA,
244916,,Privat Deschanel,,,FRA,
244917,,Montlivault,,,FRA,
244918,,Oneil,,,GBR,
244919,Joan,Mcneal,,,USA,
244920,Dorothy,Richer,,,USA,
244921,Jeanne,Egaffe,,,USA,
244922,D J,Anderson,,,AUS,
244923,Lolita,Simon,,,IND,
244924,Mrs A N,Roy,,,IND,
244925,Mrs,Creffield,,,IND,
244926,Lucille,Donovan,,,USA,
244927,Anne,Smith,,,USA,
244928,Mrs Robert,Schwartz,,,USA,
244929,DUPE Gertrude,Schultze,,,USA,
244930,E,Fagan,,,USA,
244931,Juliette,Harris,,,USA,
244932,Mrs,Cohen,,,USA,
244933,Billie,Case,,,USA,
244934,Ellen,Lee,,,USA,
244935,Elizabeth,Warren,,,USA,
244936,Mary Louise,Carpenter,,,USA,
244937,Jane,Crary,,,USA,
244938,Ruth,Palmer,,,USA,
244939,Katherine,Howell,,,USA,
244940,Eleanor,Wight,,,USA,
244941,Priscilla,Boyt,,,USA,
244942,Edwina,Campbell,,,USA,
244943,Jeanne,Stanley,,,USA,
244944,Lorie,Kempe,,,USA,
244945,Katherine,Sprague,,,USA,
244946,Josephine,Nolan,,,USA,
244947,Louisa,Church,,,USA,
244948,Jean,Meffley,,,USA,
244949,Dorothy,Richards,,,USA,
244950,Edith,Hawk,,,USA,
244951,Alice,Philip,,,USA,
244952,Jean,Gordon,,,USA,
244953,Virginia,Foster,,,USA,
244954,Mrs I V,Granger,,,USA,
244955,E,Wright,,,USA,
244956,Gwendolyn,Redding,,,USA,
244957,,Pendleton,,,USA,
244958,Helen,Rhetta,,,USA,
244959,,Cheatham,,,USA,
244960,Mrs J,Stratton,,,USA,
244961,Mrs,Harris,,,USA,
244962,Esther,Challove,,7/24/1911,USA,
244963,Esther,Jolley,,,USA,
244964,Alice,Brown,,,USA,
244965,Naidyne,Hall,,,USA,
244966,Min,Helfand,,,USA,
244967,Sally,Evans,,,USA,
244968,Mrs Walter,Haynes,,,USA,
244969,Genevieve,Walter,,,USA,
244970,Mary,Mustaikis,,,USA,
244971,Mathilda,Jacobs Klaw,,,USA,
244972,Dorothy,Ralph,,,USA,
244973,Dorothy,Dexter,,,USA,
244974,Mary,Otoole,,,USA,
244975,Henrietta,Bull,,,USA,
244976,Ella Mae,Gingell,,,USA,
244977,Virginia,Boehme,,,USA,
244978,Mabel,Gruber,,,USA,
244979,Mildred,Langsfeld,,,USA,
244980,Peggy,Simon,,,USA,
244981,Helen,Latta,,,USA,
244982,Mary Jane,Hawley,,,USA,
244983,Nina,Hawley,,,USA,
244984,Mrs Harold,Haabestad,,,USA,
244985,Mrs John,Toram,,,USA,
244986,Mrs Harry,Basher,,,USA,
244987,Dorthea,Henry,,,USA,
244988,V,Jenner,,,USA,
244989,A,Martin,,,USA,
244990,G,Bolles,,,USA,
244991,H,Cheney,,,USA,
244992,H,Sano,,,USA,
244993,R,Sisson,,,USA,
244994,R,Maeno,,,USA,
244995,,Wessel,,,USA,
244996,L,Briermeister,,,USA,
244997,,Tsukada,,,USA,
244998,M,Edwards,,,USA,
244999,M,Hedin,,,USA,
245000,K,James,,,USA,
245001,Mrs,Hull,,,USA,
245002,Mrs L L,Harris,,,USA,
245003,D,Dean,,,USA,
245004,N,Takomoto,,,USA,
245005,Lulu,Porter,,,USA,
245006,Leslie,Henderson,,,USA,
245007,,Patterson,,,USA,
245008,Marion,Pharrow,,,USA,
245009,Willie Mae,Poole,,,USA,
245010,Pauline,Mcdowell,,,USA,
245011,Lonie,Curtis,,,USA,
245012,Anthonie,Van Aken,,1876-10-21,NED,
245013,Zus,Van Aken,,1881-10-19,NED,
245014,Annie,Van Asch,,,NZL,
245015,Katherine,Van Asch,,,NZL,
245016,Louise,Van Berkhout,,1860-03-09,NED,
245017,Helene,Van Der Kindere,,,BEL,
245018,N,Van Groenou,,,NED,
245019,Christine,Van Lennep,,1872-01-16,NED,
245020,Madzy,Van Lennep,,1879-04-21,NED,
245021,Sarita,Van Vliet,,1889-04-11,USA,
245022,Gladys,Vanderbilt,,1886-08-27,USA,
245023,Marion,Vanderhoef,,1894-12-06,USA,
245024,Ilona,Varady,,,HUN,
245025,Maggy,Villier,,,FRA,
245026,Diddie,Vlasto,,8/8/1903,FRA,
245027,Regine,Vlasto,,1869-12-21,FRA,
245028,Regine,Vlasto,,12/4/1905,FRA,
245029,Dinka,Von Ringhoffer,,1878-01-01,AUT,
245030,Isabel,Wade,,,AUS,
245032,Dorothy,Walker,,7/1/1901,USA,
245033,Flo,Wallis,,,GBR,
245034,Dorothy,Walsh,,,AUS,
245035,Mary,Walsh,,,AUS,
245036,Cecily,Walters,,,GBR,
245037,Nellie,Want,,,AUS,
245038,Simone,Washer,,,BEL,
245039,Gwen,Waterhouse,,,AUS,
245040,Alice,Watson,,1875-06-08,AUS,
245041,Jessie,Watson,,,AUS,
245042,Anges,Watts,,1860-07-12,GBR,
245043,Emily,Weaver,,,USA,
245044,Nancy,Webb,,,AUS,
245045,Hazel,Webber,,,AUS,
245046,DUPE Ida,Wedin,,,AUS,
245047,Hilde,Weihe,,,GER,
245048,Virginia,Welch,,,USA,
245049,Lucy,Wellwood,,,NZL,
245050,Ruby,Wellwood,,1887-01-07,NZL,
245051,Molly,Welsh,,1878-06-04,GBR,
245052,Kath,Wemyss,,1/24/1901,AUS,
245053,Eleanor,Wentworth,,,AUS,
245054,Katherine,Westmoreland,,,AUS,
245055,Vera,Weston,,1893-08-15,GBR,
245056,Josephine,White,,,USA,
245057,Rosemary,White,,,AUS,
245058,Marcel,Whitaker,,,AUS,
245060,Gertrude,Wilmoth,,1876-04-05,AUS,
245061,Amelie,Meny,,1886-12-03,FRA,
245062,Helen,Winter Irving,,,AUS,
245063,Quinten,Winter Irving,,,AUS,
245064,Annabella,Wistar,,1872-08-26,USA,
245065,Betty,Wood,,,AUS,
245067,Iris,Woodd,,,AUS,
245068,Honor,Woolrych,,2/3/1901,GBR,
245069,P,Girod,,,FRA,
245070,Josee,Wouters,,,BEL,
245071,Mrs R,Wratten,,,AUS,
245072,M Audrey,Wright,,,GBR,
245073,Adelaide,Yager,,1892-01-20,USA,
245074,Vera,Spofforth,,1891-11-06,GBR,
245075,,Leroux,,,FRA,
245076,Anastasiya,Lopata,,12/20/2004,UKR,
245077,Yelyzaveta,Kotliar,,2/1/2007,UKR,
245078,Sofiia,Paladi,,9/19/2005,UKR,
245079,Romane,Longueville,,4/18/2005,BEL,
245080,Chyara,Onia Seke,,2/3/2004,BEL,
245081,Florence,Fedeli,,9/12/2003,BEL,
245082,Cristine,Tchanichev,,3/15/2003,BEL,
245083,Laure Line,Monnoyer,,2/12/2003,BEL,
245084,Gabriela,Skrabalova,,10/31/2005,CZE,
245085,Vanesa,Sulcova,,12/11/2004,CZE,
245086,Victoria,Calvo,,1/24/2003,ESP,
245087,Lucia,Del Valle Vidal,,5/21/2004,ESP,
245088,Asima,Sazan,,11/3/2005,KAZ,
245089,Tomiris,Mussina,,10/20/2006,KAZ,
245090,Elisa,Vigano,,4/18/2004,ITA,
245091,Kamila,Kashaeva,,10/4/1998,SUI,
245092,Hanna,Piatrushka,,12/2/2005,BLR,
245093,Alina,Cherniaieva,,10/10/2005,UKR,
245094,Lavinia,Tanasie,,12/12/2003,ROU,
245095,Mariya,Vyshkina,,6/5/2004,UKR,
245096,Anna,Sharandachenko,,9/28/2006,UKR,
245097,Mariya,Sharandachenko,,9/28/2006,UKR,
245098,Sofiia,Mykhailets,,4/5/2007,UKR,
245099,Palina,Saulevich,,10/13/2004,BLR,
245100,Mary,Cutting,,,USA,
245101,Eleanor,Hannington,,,USA,
245102,,Pennington,,,USA,
245103,Mary Jane,Schock,,,USA,
245104,R,Schock,,,USA,
245105,Eleanor,Littler,,,USA,
245106,,Hildrich,,,USA,
245107,Paulette,Guillier,,,FRA,
245108,Mrs,Adams,,,NZL,
245109,,De Querezieux,,,FRA,
245110,DUPE,Smederud,,,FRA,
245111,,Jakhelin,,,FRA,
245112,,Mudloch,,,FRA,
245113,,Ryan,,,AUS,
245114,D,Parker,,,AUS,
245115,DUPE Mrs P R,Begg,,,AUS,
245116,E,Anderson,,,USA,
245117,G,Warrington,,,USA,
245118,C,Searle,,,USA,
245119,Gladys,Granger,,,USA,
245120,M,Kataska,,,USA,
245121,A,Mathewson,,,USA,
245122,Charlotte,Ramsey,,,USA,
245123,M,Dudley,,,USA,
245124,J,Birchil,,,USA,
245125,B,Cutlier,,,USA,
245126,A,Cautourier,,,USA,
245127,L,Brix,,,USA,
245128,Janine,Leseuer,,,FRA,
245129,,Jones Stranger,,,GBR,
245130,Mrs,Crewe Wood,,,GBR,
245131,,Meiffre,,,FRA,
245132,,De Musset Hall,,,GBR,
245133,,Della Roca,,,ITA,
245134,,Endelman,,,FRA,
245135,Susan,Batten,,,NED,
245136,D,Muloch,,,FRA,
245137,M,Elwes,,,FRA,
245138,Mrs,Hargreaves,,,GBR,
245139,M,Ashby,,,GBR,
245140,Mrs,Ford,,,GBR,
245141,Margaret,Atterbury,,,USA,
245142,Eleanor,Wilcox,,,USA,
245143,Ann,Briscoe,,,USA,
245144,Mary,Lucas,,,USA,
245145,Harriet,Hiller,,,USA,
245146,Ismet,Sirri,,,USA,
245147,Constance,Hadsell,,,USA,
245148,Mildred,West,,,USA,
245149,Beatrice,Kellar,,,USA,
245150,,Treglone,,,AUS,
245151,Ivy,Edmondson,,,AUS,
245152,Mrs,Conway,,,AUS,
245153,E,Jones,,,AUS,
245154,K,Walton,,,AUS,
245155,,Rynd,,,AUS,
245156,,Entwistle,,,AUS,
245157,J,Tyrrell,,,AUS,
245158,,Burns,,,AUS,
245159,,Haub,,,AUS,
245160,,Clavier,,,FRA,
245161,,Saville,,,FRA,
245162,N,Woods,,,GBR,
245163,B,Boker,,,GER,
245164,B,Hooker,,,GBR,
245165,,Sager,,,FRA,
245166,S,Bailey,,,GBR,
245167,,Tihanyi,,,,
245168,Mrs,Sykes,,,IND,
245169,Mrs,Addison,,,IND,
245170,,Benzer,,,,
245171,,Tuma,,,FRA,
245172,E,Bailey,,,GBR,
245173,,Gulmet,,,FRA,
245174,,Allen,,,GBR,
245175,,Zanigfod,,,,
245176,L M,Burdfield,,,GBR,
245177,,Shand,,,GBR,
245178,Helen,Trimingham,,,BER,
245179,Mabel,Robinson,,,BER,
245180,Alice,Rubin,,,BER,
245181,Sally,Sprague,,,USA,
245182,Mary,Southam,,,USA,
245183,Louise,Van Alen,,,USA,
245184,Gertrude,Conaway,,,USA,
245185,Mrs Oliver,Odonnell,,,USA,
245186,Anne,Storrs,,,USA,
245187,Mrs B,Namm,,,USA,
245188,Mrs Homer,Smith,,,USA,
245189,Marian,Wickes,,,USA,
245190,Rose,Davis,,,USA,
245191,DUPE Alletta,Morris,,,USA,
245192,Elizabeth,Chase,,,USA,
245193,Leta,Morris,,,USA,
245194,Hope,Bennett,,,USA,
245195,Doris,Cook,,,USA,
245196,Betsy,Fuller,,,USA,
245197,Peggy,Hay,,,USA,
245198,Mrs D,Bendix,,,GBR,
245199,DUPE Mrs R,Landale,,,GBR,
245200,,Wilding,,,GBR,
245201,Mrs,Hooke,,,GBR,
245202,,Mayers,,,,
245203,,Schytzegina,,,,
245204,,Herbert,,,FRA,
245205,,Binger,,,,
245206,M,Clery,,,,
245207,,Adair,,,GBR,
245208,,Chadwick,,,GBR,
245209,,Weeks,,,GBR,
245210,,Fraumie,,,FRA,
245211,D,Reid,,,GBR,
245212,Mrs,Coke,,,GBR,
245213,Mrs,Dunkerley,,,GBR,
245214,Cecil,Ellmer,,,GBR,
245215,,Drost,,,GBR,
245216,Mrs,Gill,,,RSA,
245217,S,Pemberton,,,RSA,
245218,R,Stone,,,RSA,
245219,Mrs,Crozier,,,RSA,
245220,V F,Woods,,,GBR,
245221,R K,Hobson,,,GBR,
245222,E M,Aitken,,,GBR,
245223,E M,Ackernley,,,GBR,
245224,E S,Levy,,,GBR,
245225,K R,Oliver,,,GBR,
245226,Joyce,Brown,,,GBR,
245227,,Clayessens,,,FRA,
245228,Mrs,Franks,,,,
245229,,Coke,,,GBR,
245230,,Denman,,,GBR,
245231,Elizabeth,Bright,,,USA,
245232,Mrs Robert,Wolcott,,,USA,
245233,Helen,Boehm,,,USA,
245234,Mrs R W,Cordingly,,,USA,
245235,Marion,King,,,USA,
245236,Nancy,Hallowell,,,USA,
245237,Else,Dam,,,DEN,
245238,,Pilon,,,FRA,
245239,Mrs,Heath,,,GBR,
245240,B,Donald,,,FRA,
245241,,Trivier,,,FRA,
245242,H,Donald,,,FRA,
245243,Mrs J R M,Brumwell,,,GBR,
245244,M,Blain,,,GBR,
245245,DUPE Gladys,Thompson,,,GBR,
245246,Agnes,Steer Watkins,,,GBR,
245247,K M,Walker,,,GBR,
245248,Victoria,Burgess Smith,,1887-07-06,GBR,
245249,M,Bridge,,,GBR,
245250,E E,Johnson,,,GBR,
245251,Pirzio,Biroli,,,ITA,
245252,Giuseppina,Davalos,,,ITA,
245253,,Schikering,,,ITA,
245254,,Giorgi,,,ITA,
245255,,Carson,,,GBR,
245256,,Garlit,,,,
245257,L,Oliva,,,ITA,
245258,Mina,Bozzo,,,ITA,
245259,A,Buckley,,,,
245260,,Kunike,,,GER,
245261,Lidia,Nissim,,,ITA,
245262,Lidia,Bencovich,,,ITA,
245263,A W,Soden,,,GBR,
245264,M K,Ringrose,,,GBR,
245265,Joan,Crocker,,,GBR,
245266,B C,Kerrison,,,GBR,
245267,K M,Horner,,,GBR,
245268,D,Lammin,,,GBR,
245269,M,Strickland,,,GBR,
245270,D,Lee,,,GBR,
245271,Joan,Boucher,,,GBR,
245272,A K,Penrose,,,GBR,
245273,Elizabeth,Orde,,,GBR,
245274,A L,Lister,,,GBR,
245275,A,Warburg,,,FRA,
245276,,Bataille,,,FRA,
245277,S,Albarran,,,FRA,
245278,,Schultzejeva,,,,
245279,,Sert,,,FRA,
245280,,De Simone,,,ITA,
245281,Florence,Jemison,,,USA,
245282,Virginia,Burrage,,,USA,
245283,P,Ross,,,GBR,
245284,M,Bigge,,,GBR,
245285,Peggy,Stratford,,,USA,
245286,DUPE Mrs C Oliver,Odonnell,,,USA,
245287,Jeanette,Hitchcock,,,USA,
245288,Mrs,Mangan,,,USA,
245289,Anne,Rainey,,,USA,
245290,G,Steiger,,,SRI,
245291,Nedra,Obeysekera,,,SRI,
245292,Kathleen,Bridge,,,GBR,
245293,Diane,Sloane Stanley,,5/31/1904,GBR,
245294,Mrs A,Clayton,,,GBR,
245295,V M,Stephens,,,GBR,
245296,Mrs,Lewis,,,GBR,
245297,,Trumann,,,SUI,
245298,G,Hackett,,,GBR,
245299,K B,Clayton,,,GBR,
245300,Mrs,Ray,,,GBR,
245301,Ella,Dodd,,1894-12-21,IND,
245302,H,Crandall,,,USA,
245303,Mrs Theodore,De M Johnson,,,USA,
245304,Katharine,Gordon,,,USA,
245305,J,Kelleher,,,USA,
245306,Dorothy,Walker,,,USA,
245307,Mrs Marquis,James,,,USA,
245308,Elizabeth,Rebold,,,USA,
245309,Mabel,Reed,,,USA,
245310,E,Herberts,,,USA,
245311,M,Hinton,,,USA,
245312,T,Beauschell,,,USA,
245313,D,Thompson,,,USA,
245314,V,Steere,,,USA,
245315,,Mudd,,,USA,
245316,B,Robbins,,,USA,
245317,,Miller,,,USA,
245318,Betsy,Thatcher,,,USA,
245319,,Clark,,,USA,
245320,V B,Howard White,,,GBR,
245321,P G,Kiernander,,,GBR,
245322,Mrs G H B,St Ruth,,,GBR,
245323,,Mclintock,,,GBR,
245324,Dulcie,Sandys,,,GBR,
245325,B,Lewis,,,GBR,
245326,G,Rawes,,,GBR,
245327,J,Niven,,,GBR,
245328,D F,Hefferman,,,GBR,
245329,Miriam,Sydnor,,,USA,
245330,K,Parrish,,,USA,
245331,E,Cox,,,USA,
245332,Alice,Deford,,,USA,
245333,Dorothy,Alexander,,,GBR,
245334,Herta,Winterstein,,,AUT,
245335,Elzbieta,Lipopovna,,,POL,
245336,Ada,Pozowska,,,POL,
245337,Mrs,Brookes,,,GBR,
245338,M E,Tyler,,,GBR,
245339,J L,Gillespie,,,GBR,
245340,S,Adam,,,GBR,
245341,Irene,Maltby,,,GBR,
245342,E,Goodall,,,GBR,
245343,P,Cunis,,,GBR,
245344,S M,Anderson,,,GBR,
245345,Ida,Howitt,,,GBR,
245346,D L,Burges,,,GBR,
245347,K,Sutcliffe,,,GBR,
245348,J,Buckingham,,,GBR,
245349,R O,Doyle,,,GBR,
245350,C N,Clayton,,,GBR,
245351,E M,Beattie,,,GBR,
245352,Mrs P S,Chadwick,,,GBR,
245353,Mrs H S,Garrett,,,GBR,
245354,E M,Talbot,,,GBR,
245355,Mrs L M,Best,,,GBR,
245356,Mrs J,Wright,,,GBR,
245357,Mrs C J,Wilson,,,GBR,
245358,Mrs G S,Chadwick,,,GBR,
245359,P,Corbett,,,GBR,
245360,Mrs J H G,Oconor,,,GBR,
245361,A,Beaven,,,GBR,
245362,E P,Hollins,,,GBR,
245363,Muriel,Stratford,,,USA,
245364,Betty,Wheatley,,,USA,
245365,Mary,Foster,,,USA,
245366,Mrs John,Colt,,,USA,
245367,Martha,Havemeyer,,,USA,
245368,Mrs E,Donaldson,,,USA,
245369,Catherine,Reach,,,USA,
245370,Mrs H L,Derham,,,USA,
